"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2010-11,22,NOH,NBA,SF,3.0,0.0,9.0,0.167,0.333,0.0,0.167,,0.167,0.0,0.5,36.0,68.0,0.0,33.0,,31.0,0.0,225.0,
2011-12,23,MEM,NBA,SF,7.0,0.0,114.0,0.667,0.714,0.5,0.722,0.778,0.751,0.5,0.222,149.0,150.0,143.0,148.0,103.0,143.0,181.0,98.0,
2012-13,24,MEM,NBA,SF,15.0,0.0,357.0,0.489,0.537,0.453,0.617,0.607,0.625,0.298,0.564,108.0,111.0,126.0,124.0,81.0,117.0,110.0,232.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,26,NOP,NBA,SF,4.0,4.0,124.0,0.357,0.389,0.3,0.411,0.857,0.467,0.25,0.357,80.0,80.0,86.0,83.0,114.0,87.0,91.0,133.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,30,SAS,NBA,SF,5.0,0.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,139.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,34.0,4.0,616.0,0.466,0.519,0.408,0.564,0.682,0.589,0.297,0.48,103.0,108.0,114.0,114.0,91.0,110.0,109.0,195.0,
,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,22.0,0.0,471.0,0.518,0.582,0.456,0.634,0.649,0.647,0.33,0.509,115.0,121.0,127.0,128.0,86.0,121.0,122.0,210.0,
NOH (2 Yrs),NOH (2 Yrs),NOH (2 Yrs),NOH (2 Yrs),,7.0,4.0,133.0,0.324,0.381,0.231,0.368,0.857,0.418,0.206,0.382,71.0,78.0,66.0,74.0,114.0,78.0,75.0,149.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,5.0,0.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,139.0,
