"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Quincy Pondexter,,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,,,
Shammond Williams,86.3,3.1,2.9,1.2,1.0,0.5,0.2,0.0,,,
Ron Lee,86.1,3.8,2.8,1.6,1.4,0.8,0.3,,,,
Bob Wilkerson,84.2,3.2,2.9,0.9,0.7,0.7,0.2,-0.3,,,
Ken Charles,83.9,3.3,3.0,2.3,0.6,0.6,,,,,
Gary Neal,83.6,3.5,2.5,1.9,1.4,1.0,0.6,-0.1,,,
Ennis Whatley,83.0,3.3,2.2,1.9,0.8,0.7,0.6,0.0,0.0,0.0,0.0
Butch Carter,82.5,3.0,2.6,1.3,0.9,0.9,-0.2,,,,
Shannon Brown,82.4,3.4,3.1,1.6,1.2,0.7,0.1,0.0,-0.3,-0.5,
Troy Brown Jr.,82.4,2.9,2.4,1.4,0.8,0.6,0.5,,,,
Sam Vincent,81.2,3.3,2.4,2.3,1.1,0.9,0.5,0.3,,,
