"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 24_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 27_level_0', 'Awards')"
2024-25,22,PHO,NBA,PF,61,6,1045,0.604,6.4,0.989,0.353,0.358,0.278,0.0,0.011,0.611,0.833,0.493,0.481,0.0,0.858,0.31,50,0.0,1,0,
2025-26,23,PHO,NBA,PF,22,5,377,0.585,5.4,0.988,0.39,0.463,0.134,0.0,0.012,0.593,0.875,0.368,0.545,0.0,0.771,0.232,18,0.0,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,83,11,1422,0.599,5.9,0.989,0.364,0.39,0.234,0.0,0.011,0.605,0.847,0.448,0.492,0.0,0.832,0.286,68,0.0,1,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,11,1405,0.599,5.9,0.989,0.364,0.39,0.234,0.0,0.011,0.605,0.847,0.448,0.492,0.0,0.832,0.286,67,0.0,1,0,
