"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 24_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 27_level_0', 'Awards')"
2016-17,24,UTA,NBA,C,9.0,9.0,246.0,0.635,2.0,1.0,0.762,0.222,0.016,0.0,0.0,0.635,0.75,0.286,0.0,,0.75,0.397,22.0,,0.0,0.0,
2017-18,25,UTA,NBA,C,11.0,11.0,383.0,0.655,1.3,1.0,0.857,0.143,0.0,0.0,0.0,0.655,0.722,0.25,,,0.691,0.464,36.0,,0.0,0.0,
2018-19,26,UTA,NBA,C,5.0,5.0,152.0,0.594,2.4,1.0,0.75,0.219,0.031,0.0,0.0,0.594,0.792,0.0,0.0,,0.737,0.344,9.0,,0.0,0.0,
2019-20,27,UTA,NBA,C,7.0,7.0,270.0,0.649,2.2,1.0,0.784,0.216,0.0,0.0,0.0,0.649,0.776,0.188,,,0.854,0.365,26.0,,0.0,0.0,
2020-21,28,UTA,NBA,C,11.0,11.0,376.0,0.741,2.3,0.988,0.84,0.148,0.0,0.0,0.012,0.75,0.809,0.417,,0.0,0.667,0.444,33.0,0.0,1.0,0.0,
2021-22,29,UTA,NBA,C,6.0,6.0,197.0,0.636,1.9,1.0,0.788,0.212,0.0,0.0,0.0,0.636,0.731,0.286,,,0.762,0.545,16.0,,0.0,0.0,
2022-23,30,MIN,NBA,C,5.0,5.0,177.0,0.63,2.3,1.0,0.717,0.261,0.022,0.0,0.0,0.63,0.788,0.167,1.0,,0.724,0.391,17.0,,0.0,0.0,
2023-24,31,MIN,NBA,C,15.0,15.0,512.0,0.615,2.7,1.0,0.76,0.173,0.067,0.0,0.0,0.615,0.671,0.333,0.714,,0.734,0.346,32.0,,0.0,0.0,
2024-25,32,MIN,NBA,C,15.0,15.0,411.0,0.582,2.1,1.0,0.734,0.266,0.0,0.0,0.0,0.582,0.672,0.333,,,0.63,0.392,29.0,,0.0,0.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,84.0,84.0,2724.0,0.641,2.1,0.998,0.782,0.2,0.017,0.0,0.002,0.642,0.738,0.269,0.6,0.0,0.723,0.404,220.0,0.0,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2659.0,0.641,2.1,0.998,0.782,0.2,0.017,0.0,0.002,0.642,0.738,0.269,0.6,0.0,0.723,0.404,215.0,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (6 Yrs),UTA (6 Yrs),UTA (6 Yrs),UTA (6 Yrs),,49.0,49.0,1624.0,0.662,2.0,0.997,0.807,0.185,0.005,0.0,0.003,0.664,0.764,0.25,0.0,0.0,0.737,0.425,142.0,0.0,1.0,0.0,
MIN (3 Yrs),MIN (3 Yrs),MIN (3 Yrs),MIN (3 Yrs),,35.0,35.0,1100.0,0.607,2.4,1.0,0.742,0.223,0.035,0.0,0.0,0.607,0.694,0.294,0.75,,0.698,0.371,78.0,,0.0,0.0,
