"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
James White,,0.5,0.3,0.0,
Anthony Jones,95.6,0.5,0.3,0.0,
Chris Chiozza,92.1,0.5,0.3,0.0,0.0
Doug Lee,85.6,0.4,0.4,0.0,
Jeenathan Williams,76.0,0.3,0.3,0.0,
Briante Weber,72.6,0.4,0.3,0.0,
James Young,68.5,0.3,0.3,0.1,0.1
Jared Rhoden,68.4,0.6,0.3,0.1,
Corey Beck,66.1,0.4,0.2,-0.1,
Armoni Brooks,65.7,0.3,0.2,0.0,
Darrin Hancock,63.8,0.5,0.4,0.2,
