"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2017-18,21,DEN,NBA,PF,1,0,2,,,,,,,,,,,,,,,,0,,,0,0,
2018-19,22,DEN,NBA,PF,25,0,94,0.5,14.5,0.444,0.389,0.056,0.0,0.0,0.556,0.625,0.714,0.0,0.4,0.4,1.0,0.111,2,0.4,0.5,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,26,0,96,0.5,14.5,0.444,0.389,0.056,0.0,0.0,0.556,0.625,0.714,0.0,0.4,0.4,1.0,0.111,2,0.4,0.5,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,303,0.5,,0.444,0.389,0.056,0.0,0.0,0.556,0.625,0.714,0.0,0.4,0.4,1.0,0.111,6,0.4,0.5,0,0,
