"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Pape Sow,,0.6,0.2,0.1
KZ Okpala,86.7,0.5,0.1,0.1
Henry James,80.9,0.6,0.3,0.2
Thanasis Antetokounmpo,78.9,0.7,0.2,0.0
Josh Huestis,78.2,0.5,0.2,0.0
Anthony Frederick,78.1,0.5,0.2,0.0
Jarnell Stokes,77.2,0.5,0.1,0.1
Alex Poythress,75.5,0.5,0.3,0.1
JT Thor,74.8,0.6,0.3,0.2
Jarrell Brantley,74.2,0.5,0.1,0.0
Devontae Cacok,74.1,0.5,0.3,0.0
