"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Pape Sow,,0.6,0.2,0.1,
Josh Huestis,78.2,0.5,0.2,0.0,
Anthony Frederick,78.1,0.5,0.2,0.0,
Jarnell Stokes,77.2,0.5,0.1,0.1,
Alex Poythress,75.5,0.5,0.3,0.1,
Ken Durrett,75.4,0.5,0.1,0.0,0.0
Jarrell Brantley,74.2,0.5,0.1,0.0,
Devontae Cacok,74.1,0.5,0.3,0.0,
Okaro White,74.1,0.6,0.2,0.0,
Gene James,69.4,0.5,0.3,0.1,
Kelan Martin,69.4,0.4,0.2,0.0,
