"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Moussa Diabat̩,,3.2,0.4,0.3,,,
Richard Dumas,80.0,3.9,0.3,0.3,,,
Jake Layman,79.7,3.1,0.7,0.3,0.1,-0.1,-0.3
Tom Marshall,79.5,3.5,0.7,0.2,-0.3,,
Justin Champagnie,78.2,2.8,0.8,0.3,0.0,,
Dick Schulz,78.2,2.9,0.8,0.6,0.0,,
Guerschon Yabusele,78.1,3.9,0.6,0.5,,,
Larry Spriggs,76.7,2.6,0.5,0.3,0.1,0.0,
Dennis Hamilton,76.4,2.8,0.7,0.5,0.0,,
Vince Williams Jr.,75.8,2.8,0.4,-0.1,,,
Jake LaRavia,75.2,2.9,1.0,0.5,,,
