"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Stanley Johnson,,1.8,1.8,1.0,0.7,0.6,0.5,0.4,0.0
John Wallace,81.9,1.6,1.5,1.0,1.0,0.7,0.3,0.3,
Anthony Randolph,81.4,1.6,1.5,1.1,0.6,0.5,0.5,,
Luke Babbitt,80.8,1.8,1.6,1.1,0.9,0.7,0.7,0.7,-0.4
Michael Ruffin,80.6,1.9,1.7,1.2,1.0,0.6,0.2,0.0,0.0
Brian Scalabrine,80.4,1.7,1.4,1.1,1.0,0.9,0.6,0.3,-0.1
Scott Hastings,79.4,2.1,1.5,1.3,1.0,0.8,0.4,0.3,0.1
Richard Anderson,76.0,2.3,2.1,1.3,1.0,0.5,0.5,,
Reggie Slater,76.0,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1
Juancho HernangÃ³mez,75.2,3.0,1.8,1.1,0.9,0.9,0.7,0.4,
Charles Davis,75.0,2.1,1.5,1.0,0.9,0.5,0.3,-0.2,-0.3
