"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Miles Plumlee,,4.0,2.6,2.2,0.9,0.5,0.5,0.0
Carlos Rogers,89.9,4.0,2.2,2.0,0.9,0.9,0.5,0.0
Cherokee Parks,82.1,3.8,2.2,1.9,1.4,0.9,0.2,0.0
Chris Dudley,81.3,3.4,2.2,2.2,1.0,0.2,0.1,0.0
Mikki Moore,81.3,2.8,2.6,2.2,1.0,0.6,0.1,0.1
George Peeples,80.5,4.1,3.2,2.1,1.5,0.2,0.0,
Manute Bol,80.3,3.9,2.4,2.0,1.7,1.3,0.8,0.0
Ekpe Udoh,79.7,3.2,2.7,2.1,1.6,0.7,0.3,0.0
Steven Hunter,79.0,2.8,2.6,2.5,1.0,0.9,0.6,0.1
Chris Mihm,78.8,4.0,3.6,2.9,1.3,0.9,0.7,0.0
Joel Przybilla,78.8,4.7,2.3,1.9,0.6,0.3,0.1,0.1
