"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Shelvin Mack,,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5
Randy Brown,86.2,2.4,1.9,1.8,1.6,1.5,1.0,0.4,0.3
Raul Neto,83.5,2.8,1.8,1.5,1.5,1.2,1.1,0.9,0.7
Alonzo Gee,83.0,2.4,1.9,1.9,1.2,1.0,0.9,0.4,-0.1
Elston Turner,82.1,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2
Si Green,82.0,2.6,2.6,1.6,1.1,1.0,0.8,0.8,0.4
John Crotty,80.7,2.4,2.1,1.9,1.3,1.0,0.8,0.3,-0.1
Dion Waiters,80.4,2.1,1.6,1.6,1.2,1.1,0.9,0.1,0.1
Ledell Eackles,80.2,2.4,2.1,2.0,1.2,1.0,1.0,1.0,
Jordan McLaughlin,79.6,2.5,2.3,1.6,1.3,1.2,0.6,,
Shaun Livingston,79.2,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
