"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Markieff Morris,,6.4,4.6,4.1,3.3,1.7,1.6,1.6,1.5,1.4,0.5,0.4,0.3,-0.1,-0.2,,
Brandan Wright,88.9,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7,,,,,,
Adam Keefe,87.7,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,,,,,,,
Phil Jackson,84.8,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5,,,,
Dorell Wright,83.9,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1,,,,,
Chuck Hayes,83.8,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0.0,,,,,
Alan Henderson,83.5,6.0,4.3,3.1,3.1,2.6,2.0,1.9,1.6,1.3,1.3,0.7,0.2,,,,
Chris Wilcox,83.2,6.0,4.4,3.4,3.1,2.8,2.6,1.3,1.3,1.1,0.6,0.2,,,,,
James Johnson,82.7,5.1,5.0,4.1,3.0,2.6,1.7,1.5,1.3,1.2,1.1,0.8,0.6,0.1,0.0,-0.1,-0.5
George Lynch,82.1,6.5,5.8,3.9,3.5,2.6,2.5,2.5,1.7,1.5,0.9,0.7,0.0,,,,
Kris Humphries,81.7,5.4,5.3,4.1,3.8,2.7,1.9,1.8,1.6,1.6,1.5,0.7,0.2,-0.3,,,
