Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2016-17,20,ORL,NBA,C,19,0,108,10,31,0.323,0,0,10,31,0.323,0.323,3,5,0.6,11,24,35,4,2,5,3,17,23,0,
1 Yr,1 Yr,1 Yr,1 Yr,,19,0,108,10,31,0.323,0,0,10,31,0.323,0.323,3,5,0.6,11,24,35,4,2,5,3,17,23,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,466,43,134,0.323,0,0,43,134,0.323,0.323,13,22,0.6,47,104,151,17,9,22,13,73,99,0,
