"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Miye Oni,,0.9,0.1,0.0
Sam Jacobson,88.2,0.9,0.2,0.0
Ian Clark,85.8,0.9,0.2,-0.1
Greg Sutton,85.1,0.8,0.2,-0.1
Kadeem Allen,84.5,1.0,0.1,-0.1
Joe Harris,82.5,0.8,0.2,0.0
Kevin Porter Jr.,80.5,0.8,0.3,0.0
Andre McCarter,80.2,0.8,0.3,0.0
Wayne Chapman,77.7,1.0,0.1,-0.1
Phil Pressey,77.0,0.8,0.1,-0.1
Sindarius Thornwell,76.5,1.0,0.1,0.0
