"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Miye Oni,,0.9,0.1,0.0,
Sam Jacobson,88.2,0.9,0.2,0.0,
Greg Sutton,85.1,0.8,0.2,-0.1,
Kadeem Allen,84.5,1.0,0.1,-0.1,
Andre McCarter,80.2,0.8,0.3,0.0,
Phil Pressey,77.0,0.8,0.1,-0.1,
Quenton Jackson,75.8,1.0,0.2,0.0,
Sindarius Thornwell,73.6,1.0,0.1,0.0,0.0
A.J. Lawson,73.5,0.8,0.2,0.1,
Admiral Schofield,72.1,0.8,0.3,0.1,0.0
Willie Smith,71.0,1.0,0.3,0.0,0.0
