0
2008-09 NBA 7.6 (10th)
2009-10 NBA 8.1 (11th)
2010-11 NBA 7.3 (17th)
2011-12 NBA 7.7 (9th)
2012-13 NBA 7.3 (11th)
2013-14 NBA 8.1 (6th)
2014-15 NBA 6.4 (17th)
2015-16 NBA 7.1 (12th)
2016-17 NBA 7.0 (12th)
2017-18 NBA 6.7 (9th)
2018-19 NBA 7.5 (8th)
2020-21 NBA 6.8 (19th)
2021-22 NBA 8.4 (8th)
2022-23 NBA 8.3 (8th)
2023-24 NBA 7.8 (8th)
2024-25 NBA 7.0 (13th)
2025-26 NBA 6.8 (19th)
Active 7.4 (6th)
Career 7.4 (63rd)
Career NBA 7.4 (61st)
Career Playoffs 7.8 (61st)
Career NBA Playoffs 7.8 (53rd)
