Season,Team,Lg,Salary
2007-08,Sacramento Kings,NBA,"$2,028,600"
2008-09,Sacramento Kings,NBA,"$2,180,760"
2009-10,Sacramento Kings,NBA,"$2,332,800"
2010-11,Philadelphia 76ers,NBA,"$2,974,320"
2011-12,Philadelphia 76ers,NBA,"$4,051,024"
2012-13,Philadelphia 76ers,NBA,"$8,500,000"
2013-14,Philadelphia 76ers,NBA,"$6,500,000"
2014-15,Los Angeles Clippers,NBA,"$5,305,000"
2015-16,Charlotte Hornets,NBA,"$5,543,725"
2016-17,Milwaukee Bucks,NBA,"$6,348,759"
2017-18,Milwaukee Bucks,NBA,"$2,007,059"
2018-19,Milwaukee Bucks,NBA,"$2,007,058"
2019-20,Milwaukee Bucks,NBA,"$2,007,058"
Career,(may be incomplete),,"$51,786,163"
