"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Henry Walker,,1.9,1.1,0.9,0.5,0.5
Nassir Little,88.1,1.7,1.1,0.7,0.7,0.6
Pete Verhoeven,88.0,2.1,1.2,0.8,0.7,0.4
Bob Portman,87.7,1.9,1.2,0.8,0.5,
Tom Hammonds,86.9,2.2,0.8,0.8,0.6,0.5
Steve Novak,85.9,2.2,1.1,0.9,0.4,0.3
Cliff Meely,84.3,1.8,1.2,1.0,0.4,0.2
Scott Hastings,83.2,2.1,1.3,0.8,0.4,0.1
Semi Ojeleye,82.7,1.9,1.2,1.2,0.7,0.2
Chuma Okeke,81.6,2.2,1.3,0.7,0.6,0.3
Jud Buechler,81.1,1.8,1.5,1.2,0.5,0.4
