"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Henry Walker,,1.9,1.1,0.9,0.5,0.5,,,
Nassir Little,88.1,1.7,1.1,0.7,0.7,0.6,,,
Bob Portman,87.7,1.9,1.2,0.8,0.5,,,,
Pete Verhoeven,87.4,2.1,1.2,0.8,0.7,0.4,0.0,,
Cliff Meely,84.3,1.8,1.2,1.0,0.4,0.2,,,
Tony Brown,83.9,1.8,1.3,0.9,0.5,0.2,0.2,0.0,
Semi Ojeleye,82.7,1.9,1.2,1.2,0.7,0.2,,,
Reggie Slater,81.9,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1
Solomon Jones,81.8,1.9,1.6,0.8,0.5,0.3,0.0,0.0,-0.1
Chuma Okeke,81.6,2.2,1.3,0.7,0.6,0.3,,,
Tellis Frank,80.1,2.0,1.1,0.6,0.3,0.1,,,
