"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2013-14,20,ATL,NBA,PG,2.0,0.0,7.0,1.0,1.0,1.0,1.25,,1.25,0.0,0.5,220.0,205.0,278.0,249.0,,231.0,0.0,193.0,
2014-15,21,ATL,NBA,PG,16.0,0.0,290.0,0.386,0.432,0.235,0.414,0.857,0.458,0.193,0.234,86.0,89.0,67.0,83.0,114.0,86.0,71.0,87.0,
2015-16,22,ATL,NBA,PG,10.0,0.0,191.0,0.452,0.507,0.343,0.51,0.846,0.533,0.125,0.337,100.0,103.0,97.0,101.0,112.0,99.0,45.0,118.0,
2016-17,23,ATL,NBA,PG,6.0,6.0,211.0,0.455,0.471,0.425,0.532,0.838,0.586,0.336,0.364,99.0,94.0,119.0,104.0,109.0,106.0,124.0,115.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,25,OKC,NBA,PG,5.0,0.0,151.0,0.455,0.543,0.3,0.509,0.722,0.548,0.327,0.364,99.0,104.0,85.0,97.0,94.0,98.0,127.0,101.0,
2019-20,26,OKC,NBA,PG,7.0,0.0,227.0,0.404,0.484,0.289,0.463,0.8,0.504,0.229,0.413,88.0,92.0,81.0,88.0,104.0,89.0,88.0,107.0,
2020-21,27,LAL,NBA,SG,6.0,6.0,196.0,0.4,0.455,0.308,0.457,0.846,0.528,0.371,0.371,86.0,86.0,84.0,85.0,109.0,92.0,150.0,95.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,LAL,NBA,PG,16.0,3.0,417.0,0.398,0.438,0.333,0.461,0.821,0.512,0.272,0.379,84.0,80.0,92.0,85.0,105.0,88.0,102.0,98.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,31,DET,NBA,PG,6.0,0.0,164.0,0.491,0.5,0.476,0.585,0.813,0.625,0.302,0.396,105.0,92.0,132.0,108.0,104.0,108.0,124.0,94.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,74.0,15.0,1854.0,0.425,0.471,0.337,0.483,0.822,0.529,0.254,0.348,92.0,92.0,94.0,93.0,107.0,95.0,97.0,103.0,
,,,,,,,,,,,,,,,,,,,,,,,,
ATL (4 Yrs),ATL (4 Yrs),ATL (4 Yrs),ATL (4 Yrs),,34.0,6.0,699.0,0.429,0.466,0.345,0.482,0.846,0.524,0.216,0.305,95.0,95.0,97.0,96.0,111.0,96.0,79.0,105.0,
LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),,22.0,9.0,613.0,0.399,0.444,0.323,0.46,0.833,0.518,0.312,0.376,85.0,82.0,89.0,85.0,107.0,90.0,122.0,97.0,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,12.0,0.0,378.0,0.421,0.505,0.292,0.479,0.767,0.519,0.262,0.396,91.0,97.0,82.0,91.0,100.0,92.0,101.0,105.0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,6.0,0.0,164.0,0.491,0.5,0.476,0.585,0.813,0.625,0.302,0.396,105.0,92.0,132.0,108.0,104.0,108.0,124.0,94.0,
