"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Antoine Wright,,1.4,1.2,0.8,0.3,-0.1,-0.5,
Norris Cole,74.4,1.4,1.2,0.6,0.0,-0.1,-0.1,
Chris Carr,73.8,1.7,1.1,0.9,0.3,0.2,-0.3,
Saben Lee,73.8,1.5,0.9,0.7,0.4,,,
Steve Harris,73.2,1.3,1.2,0.8,0.0,-0.1,,
Shaquille Harrison,70.5,1.5,1.4,0.8,0.3,0.2,0.0,0.0
Steve Alford,70.1,1.4,0.9,0.6,0.3,,,
Jimmy O'Brien,69.9,1.4,1.4,1.0,0.2,,,
Isaiah Canaan,66.6,1.4,1.4,0.6,0.5,0.2,0.1,
Sergio RodrÃ­guez,65.9,1.7,1.2,0.9,0.7,-0.2,,
Chris Smith,65.7,1.2,1.1,0.9,,,,
