"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
A.J. Guyton,,0.3,0.1,-0.1
Rusty LaRue,76.8,0.3,0.1,-0.1
Eddie Gill,72.1,0.3,0.1,0.0
Carsen Edwards,70.1,0.3,0.1,-0.1
Randy Livingston,69.8,0.3,0.1,0.0
Dwight Buycks,68.7,0.2,0.1,0.0
Gerald Madkins,65.7,0.3,0.1,0.0
Dave Jamerson,60.8,0.2,0.1,-0.1
Michael Phelps,60.0,0.3,0.1,-0.1
Quinndary Weatherspoon,60.0,0.2,0.1,-0.1
Michael Hawkins,57.2,0.2,0.0,0.0
