"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Cam Thomas,,2.5,1.2,1.0,0.8
David Nwaba,89.3,2.4,1.4,0.8,0.8
Bo Lamar,88.0,2.5,1.5,1.0,0.5
Mike Davis,87.4,2.2,1.2,0.9,0.6
Si Green,87.4,2.6,1.0,0.8,0.4
Claude Terry,85.4,2.4,1.8,1.0,0.8
Wes Matthews,84.8,2.6,1.3,0.7,0.4
Josh Okogie,84.2,2.2,1.3,1.2,0.7
Justin Jackson,82.5,2.9,1.2,1.0,0.2
Nick Young,82.3,2.8,1.4,1.2,0.4
Shelvin Mack,81.8,2.3,1.3,0.7,0.5
