Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2021-22,20,BRK,NBA,SG,1,0,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
2022-23,21,BRK,NBA,SG,2,0,16,3,7,0.429,0,2,0.0,3,5,0.6,0.429,0,0,0,1,1,1,0,0,1,2,6,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,3,0,16,3,7,0.429,0,2,0.0,3,5,0.6,0.429,0,0,0,1,1,1,0,0,1,2,6,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,437,82,191,0.429,0,55,0.0,82,137,0.6,0.429,0,0,0,27,27,27,0,0,27,55,164,0,
