"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Renaldo Balkman,,2.8,2.6,1.3,0.3,0.1,0.0,,
Tom Tolbert,93.0,2.7,2.5,1.3,0.1,0.0,0.0,0.0,
Tony Bradley,89.2,3.3,2.7,1.3,0.4,0.2,0.1,0.0,
Tyrone Nesby,88.0,3.1,2.9,1.3,0.3,,,,
Bruce Seals,87.5,2.9,2.4,1.6,0.6,0.3,,,
Kenny Williams,85.6,2.7,2.4,1.6,0.7,,,,
Cal Christensen,83.9,3.2,2.9,1.7,0.4,0.0,,,
Shabazz Muhammad,83.9,2.7,2.7,2.0,0.7,0.3,,,
Cheick Diallo,83.8,2.6,1.9,1.3,0.5,0.1,,,
Mark Strickland,83.4,2.8,2.2,1.0,0.6,0.5,0.0,0.0,0.0
Joey Graham,79.5,3.0,2.2,1.3,1.1,0.3,0.0,,
