Season,Team,Lg,Salary
2008-09,Milwaukee Bucks,NBA,"$2,403,120"
2009-10,Chicago Bulls,NBA,"$2,583,360"
2010-11,New Orleans Hornets,NBA,"$90,465"
Career,(may be incomplete),,"$5,076,945"
