Season,Team,Lg,Salary
2004-05,Orlando Magic,NBA,"$1,106,160"
2005-06,Orlando Magic,NBA,"$1,189,200"
2006-07,Orlando Magic,NBA,"$1,272,120"
2007-08,Orlando Magic,NBA,"$1,961,609"
2008-09,Orlando Magic,NBA,"$7,700,000"
2009-10,Orlando Magic,NBA,"$6,138,888"
2010-11,Orlando Magic,NBA,"$7,800,000"
2011-12,Orlando Magic,NBA,"$7,800,000"
2012-13,Orlando Magic,NBA,"$8,600,000"
2013-14,Orlando Magic,NBA,"$8,600,000"
2014-15,Denver Nuggets,NBA,"$2,732,000"
2015-16,Denver Nuggets,NBA,"$4,500,000"
2016-17,Denver Nuggets,NBA,"$4,540,525"
2017-18,Denver Nuggets,NBA,"$4,736,050"
2017-18,Detroit Pistons,NBA,"$1,429,818"
Career,(may be incomplete),,"$70,106,370"
