Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2006-07,24,ORL,NBA,PG,4,4,129,21,50,0.42,5,14,0.357,16,36,0.444,0.47,10,11,0.909,4,8,12,13,3,0,9,19,57,0,
2007-08,25,ORL,NBA,PG,10,10,333,57,113,0.504,20,41,0.488,37,72,0.514,0.593,28,37,0.757,4,37,41,47,3,2,21,43,162,0,
2008-09,26,ORL,NBA,PG,5,0,90,8,23,0.348,1,6,0.167,7,17,0.412,0.37,2,4,0.5,1,6,7,14,1,0,7,3,19,0,
2009-10,27,ORL,NBA,PG,14,14,479,91,190,0.479,33,84,0.393,58,106,0.547,0.566,51,62,0.823,9,41,50,67,14,0,35,38,266,0,
2010-11,28,ORL,NBA,PG,6,6,216,31,82,0.378,6,26,0.231,25,56,0.446,0.415,11,14,0.786,7,18,25,30,12,0,8,14,79,0,
2011-12,29,ORL,NBA,PG,5,5,182,29,74,0.392,8,25,0.32,21,49,0.429,0.446,12,16,0.75,1,18,19,33,4,1,10,13,78,0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,44,39,1429,237,532,0.445,73,196,0.372,164,336,0.488,0.514,114,144,0.792,26,128,154,204,37,3,90,130,661,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,73,2663,442,991,0.445,136,365,0.372,306,626,0.488,0.514,212,268,0.792,48,239,287,380,69,6,168,242,1232,0,
