0
2008-09 NBA 151 (4th)
2009-10 NBA 139 (8th)
2010-11 NBA 120 (14th)
2012-13 NBA 154 (7th)
2014-15 NBA 126 (11th)
2015-16 NBA 124 (13th)
2016-17 NBA 124 (8th)
2017-18 NBA 98 (17th)
2018-19 NBA 179 (3rd)
2019-20 NBA 163 (2nd)
2020-21 NBA 103 (7th)
2022-23 NBA 193 (1st)
2023-24 NBA 189 (3rd)
2024-25 NBA 148 (2nd)
Active 2071 (1st)
Career 2071 (20th)
Career NBA 2071 (18th)
Career Playoffs 149 (41st)
Career NBA Playoffs 149 (40th)
Career (Reg+Playoffs) 2220 (18th)
Career NBA (Reg+Playoffs) 2220 (16th)
