"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2012-13,22,HOU,NBA,PF,1.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,0.5,,0.0,0.0,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,25,HOU,NBA,PF,5.0,4.0,98.0,0.432,11.0,0.757,0.189,0.405,0.162,0.0,0.243,0.429,0.571,0.467,0.167,0.444,0.667,1.0,0.027,1.0,0.222,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,28,SAS,NBA,PF,5.0,0.0,19.0,0.6,5.9,0.9,0.4,0.5,0.0,0.0,0.1,0.667,0.75,0.6,,0.0,0.833,,0.1,1.0,0.0,,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,11.0,4.0,122.0,0.49,6.0,0.796,0.265,0.408,0.122,0.0,0.204,0.513,0.692,0.5,0.167,0.4,0.7,1.0,0.041,2.0,0.2,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,30.0,909.0,0.49,6.0,0.796,0.265,0.408,0.122,0.0,0.204,0.513,0.692,0.5,0.167,0.4,0.7,1.0,0.041,15.0,0.2,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,6.0,4.0,103.0,0.462,6.0,0.769,0.231,0.385,0.154,0.0,0.231,0.467,0.667,0.467,0.167,0.444,0.643,1.0,0.026,1.0,0.222,0.0,0.0,0.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,5.0,0.0,19.0,0.6,5.9,0.9,0.4,0.5,0.0,0.0,0.1,0.667,0.75,0.6,,0.0,0.833,,0.1,1.0,0.0,,0.0,0.0,
