"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Aaron Wiggins,,5.4,3.7,2.6,1.2
Jim Price,94.0,5.0,3.7,2.6,1.5
Sherman Douglas,92.4,5.4,4.4,2.6,1.0
Terrell Brandon,92.2,5.6,3.9,2.9,0.9
Aaron McKie,92.1,5.3,3.5,2.0,1.4
Tyreke Evans,91.7,5.4,4.4,2.7,1.6
Vernon Maxwell,91.2,5.9,3.9,2.8,1.5
Luke Ridnour,91.2,5.4,4.4,2.3,1.2
Rudy FernÃ¡ndez,90.8,6.1,3.8,3.0,1.2
Bimbo Coles,90.5,5.7,3.2,3.0,1.1
Rodney Stuckey,90.1,5.0,3.8,2.7,2.0
