Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2023-24,20,MIN,NBA,SF,3,0,7,0.0,7.5,0.0,0.0,7.5,0.0,0.0,0.0,,0.0,0.0,0.0,7.5,22.4,29.9,0.0,0.0,0.0,0.0,0.0,0.0,69,109,
2024-25,21,MIN,NBA,SF,3,0,13,23.3,31.0,0.75,3.9,3.9,1.0,19.4,27.2,0.714,0.813,0.0,0.0,11.6,7.8,19.4,0.0,0.0,0.0,3.9,0.0,50.5,140,116,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,6,0,20,15.3,23.0,0.667,2.6,5.1,0.5,12.8,17.9,0.714,0.722,0.0,0.0,10.2,12.8,23.0,0.0,0.0,0.0,2.6,0.0,33.2,130,114,
