Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2023-24,20,MIN,NBA,SF,3,0,2.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.3,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,
2024-25,21,MIN,NBA,SF,3,0,4.3,2.0,2.7,0.75,0.3,0.3,1.0,1.7,2.3,0.714,0.813,0.0,0.0,1.0,0.7,1.7,0.0,0.0,0.0,0.3,0.0,4.3,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,6,0,3.3,1.0,1.5,0.667,0.2,0.3,0.5,0.8,1.2,0.714,0.722,0.0,0.0,0.7,0.8,1.5,0.0,0.0,0.0,0.2,0.0,2.2,
