Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2023-24,20,MIN,NBA,SF,3,0,7,0.0,5.1,0.0,0.0,5.1,0.0,0.0,0.0,,0.0,0.0,0.0,5.1,15.4,20.6,0.0,0.0,0.0,0.0,0.0,0.0,
2024-25,21,MIN,NBA,SF,3,0,13,16.6,22.2,0.75,2.8,2.8,1.0,13.8,19.4,0.714,0.813,0.0,0.0,8.3,5.5,13.8,0.0,0.0,0.0,2.8,0.0,36.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,6,0,20,10.8,16.2,0.667,1.8,3.6,0.5,9.0,12.6,0.714,0.722,0.0,0.0,7.2,9.0,16.2,0.0,0.0,0.0,1.8,0.0,23.4,
