Season,Team,Lg,Salary
2015-16,Detroit Pistons,NBA,"$525,093"
2016-17,Detroit Pistons,NBA,"$874,636"
2017-18,San Antonio Spurs,NBA,< $Minimum
Career,(may be incomplete),,"$1,399,729"
