Season,Team,Lg,Salary
2012-13,Orlando Magic,NBA,"$1,418,160"
2013-14,Orlando Magic,NBA,"$1,482,000"
2014-15,Orlando Magic,NBA,"$1,545,840"
2015-16,Orlando Magic,NBA,"$2,380,594"
2016-17,Brooklyn Nets,NBA,"$6,088,993"
2017-18,Portland Trail Blazers,NBA,"$2,844,429"
2018-19,Portland Trail Blazers,NBA,"$2,844,430"
2019-20,Portland Trail Blazers,NBA,"$2,844,430"
2020-21,Portland Trail Blazers,NBA,"$2,844,430"
2021-22,Portland Trail Blazers,NBA,"$2,844,430"
2022-23,Portland Trail Blazers,NBA,"$2,844,430"
2023-24,Portland Trail Blazers,NBA,"$2,844,430"
Career,(may be incomplete),,"$32,826,596"
