Season,Team,Lg,Salary
2010-11,Golden State Warriors,NBA,"$3,065,040"
2011-12,Golden State Warriors,NBA,"$3,294,960"
2012-13,Milwaukee Bucks,NBA,"$3,524,880"
2013-14,Milwaukee Bucks,NBA,"$4,469,548"
2014-15,Los Angeles Clippers,NBA,"$981,084"
2017-18,Utah Jazz,NBA,"$3,200,000"
2018-19,Utah Jazz,NBA,"$3,360,000"
Career,(may be incomplete),,"$21,895,512"
