"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2010-11,23,GSW,NBA,C,58,18,1030,.437,7.3,1.000,.329,.374,.176,.122,.000,.437,.534,.422,.308,.407,,.515,.086,17,,0,0,
2011-12,24,2TM,NBA,C,61,11,1290,.431,8.1,.993,.312,.332,.186,.163,.007,.433,.554,.378,.418,.333,.000,.591,.081,21,.000,0,0,
2011-12,24,GSW,NBA,C,38,6,827,.443,8.2,1.000,.243,.432,.168,.157,.000,.443,.556,.413,.355,.448,,.573,.059,11,,0,0,
2011-12,24,MIL,NBA,C,23,5,463,.409,8.0,.982,.427,.164,.218,.173,.018,.417,.553,.222,.500,.158,.000,.622,.118,10,.000,0,0,
2012-13,25,MIL,NBA,C,76,9,1312,.435,6.2,.996,.424,.346,.160,.067,.004,.437,.579,.301,.349,.444,.000,.615,.048,13,.000,0,0,
2013-14,26,MIL,NBA,PF,42,14,804,.399,6.9,1.000,.343,.371,.140,.147,.000,.399,.469,.321,.650,.190,,.737,.056,8,,0,0,
2014-15,27,LAC,NBA,PF,33,0,128,.458,7.8,1.000,.208,.333,.417,.042,.000,.458,.800,.250,.500,.000,,.727,.042,1,,0,0,
2015-16,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2016-17,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2017-18,30,UTA,NBA,C,63,3,810,.500,4.5,.992,.542,.308,.117,.025,.008,.504,.662,.378,.214,.000,.000,.683,.150,18,.000,1,0,
2018-19,31,UTA,NBA,C,51,1,320,.694,3.8,1.000,.597,.319,.069,.014,.000,.694,.767,.652,.400,.000,,.720,.222,15,,0,0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,384,56,5694,.453,6.6,.997,.385,.345,.162,.104,.003,.455,.587,.375,.392,.328,.000,.624,.086,93,.000,1,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,12,1216,.453,6.6,.997,.385,.345,.162,.104,.003,.455,.587,.375,.392,.328,.000,.624,.086,20,.000,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),,141,28,2579,.420,7.0,.994,.402,.314,.167,.111,.006,.422,.548,.299,.460,.259,.000,.648,.065,31,.000,0,0,
UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),,114,4,1130,.573,4.2,.995,.563,.313,.099,.021,.005,.576,.704,.483,.263,.000,.000,.700,.177,33,.000,1,0,
GSW (2 Yrs),GSW (2 Yrs),GSW (2 Yrs),GSW (2 Yrs),,96,24,1857,.440,7.7,1.000,.290,.400,.172,.138,.000,.440,.542,.417,.329,.429,,.542,.074,28,,0,0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,33,0,128,.458,7.8,1.000,.208,.333,.417,.042,.000,.458,.800,.250,.500,.000,,.727,.042,1,,0,0,
