"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Jared Dudley,,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4,1.8,1.8,0.8,0.8,0.1
Rick Fox,91.2,5.3,5.2,5.1,5.1,4.3,3.6,3.2,3.2,2.8,2.3,2.1,1.8,0.8,
Sam Mitchell,90.0,6.1,5.1,5.1,4.3,3.7,3.3,3.0,2.8,2.3,2.3,2.2,0.9,0.6,
Nick Collison,88.9,5.2,5.0,4.7,4.6,4.5,3.9,3.6,3.6,3.5,2.3,2.2,0.8,0.4,0.1
Larry Smith,88.7,6.1,5.4,5.2,4.7,4.4,4.3,4.0,3.7,3.1,2.6,1.2,1.2,0.3,
P.J. Tucker,88.4,6.1,5.0,5.0,4.9,4.0,3.9,3.6,3.5,2.9,2.5,1.0,0.7,0.1,0.1
Chuck Person,88.3,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3.0,2.1,1.2,0.9,0.0,-0.1,
Al Harrington,87.4,5.9,5.4,4.3,3.9,3.9,3.8,3.5,3.2,2.6,2.1,1.6,1.2,1.0,-0.2
Bruce Bowen,87.2,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,2.2,1.9,1.2,0.0,0.0,
Brandon Bass,87.0,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2.2,2.0,0.1,0.0,,
Junior Bridgeman,87.0,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6,,
