Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,23.0,HOU,NBA,SG,1.0,0.0,25:50,6.0,13.0,0.462,3.0,8.0,0.375,0.0,0.0,,1.0,6.0,3.0,0.0,0.0,2.0,2.0,15.0
2013-14,24.0,HOU,NBA,SG,1.0,1.0,23:46,3.0,7.0,0.429,2.0,6.0,0.333,0.0,0.0,,0.0,1.0,5.0,1.0,0.0,2.0,1.0,8.0
2014-15,25.0,HOU,NBA,SG,1.0,1.0,26:36,11.0,16.0,0.688,7.0,12.0,0.583,0.0,0.0,,3.0,8.0,8.0,2.0,0.0,4.0,0.0,29.0
2015-16,26.0,HOU,NBA,SG,1.0,0.0,21:05,8.0,14.0,0.571,7.0,12.0,0.583,0.0,0.0,,0.0,4.0,3.0,0.0,0.0,1.0,0.0,23.0
2016-17,27.0,HOU,NBA,PG,1.0,1.0,30:23,4.0,9.0,0.444,4.0,9.0,0.444,0.0,0.0,,0.0,7.0,12.0,0.0,0.0,10.0,2.0,12.0
2017-18,28.0,HOU,NBA,SG,1.0,1.0,27:04,5.0,19.0,0.263,2.0,13.0,0.154,0.0,0.0,,1.0,7.0,8.0,1.0,1.0,3.0,1.0,12.0
2018-19,29.0,HOU,NBA,PG,1.0,1.0,26:13,4.0,13.0,0.308,4.0,13.0,0.308,0.0,0.0,,0.0,4.0,3.0,1.0,0.0,3.0,1.0,12.0
2019-20,30.0,HOU,NBA,SG,1.0,1.0,17:31,3.0,9.0,0.333,3.0,9.0,0.333,2.0,4.0,0.5,0.0,3.0,6.0,1.0,2.0,2.0,5.0,11.0
2020-21,31.0,BRK,NBA,PG,1.0,0.0,32:00,7.0,14.0,0.5,7.0,13.0,0.538,0.0,0.0,,0.0,2.0,4.0,1.0,0.0,3.0,0.0,21.0
2021-22,32.0,PHI,NBA,PG,,,,,,,,,,,,,,,,,,,,
2024-25,35.0,LAC,NBA,PG,1.0,1.0,8:31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0
2024-25,35.0,LAC,NBA,PG,1.0,1.0,7:49,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0
Career,,,NBA,,11.0,8.0,247,53.0,117.0,,41.0,98.0,,2.0,4.0,,5.0,45.0,58.0,7.0,3.0,30.0,13.0,149.0
