Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2021-22,23,MIN,NBA,SG,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-23,24,PHO,NBA,SG,10.0,5.0,175.0,14.0,37.0,0.378,2.0,14.0,0.143,12.0,23.0,0.522,0.405,11.0,13.0,0.846,12.0,9.0,21.0,13.0,6.0,2.0,3.0,18.0,41.0,0.0,
2023-24,25,PHO,NBA,SG,4.0,0.0,29.0,5.0,9.0,0.556,1.0,3.0,0.333,4.0,6.0,0.667,0.611,3.0,6.0,0.5,0.0,4.0,4.0,2.0,2.0,0.0,2.0,7.0,14.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,15.0,5.0,206.0,19.0,46.0,0.413,3.0,17.0,0.176,16.0,29.0,0.552,0.446,14.0,19.0,0.737,12.0,13.0,25.0,15.0,8.0,2.0,5.0,25.0,55.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,27.0,1126.0,104.0,251.0,0.413,16.0,93.0,0.176,87.0,159.0,0.552,0.446,77.0,104.0,0.737,66.0,71.0,137.0,82.0,44.0,11.0,27.0,137.0,301.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,14.0,5.0,204.0,19.0,46.0,0.413,3.0,17.0,0.176,16.0,29.0,0.552,0.446,14.0,19.0,0.737,12.0,13.0,25.0,15.0,8.0,2.0,5.0,25.0,55.0,0.0,
MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
