"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Josh Okogie,,2.8,2.2,2.1,1.3,1.3,1.2,0.7,,,,
Ledell Eackles,87.4,2.4,2.1,2.0,1.2,1.0,1.0,1.0,,,,
Anthony Bowie,86.0,2.9,2.5,2.0,1.6,1.3,0.7,0.7,0.5,,,
Aaron Holiday,85.2,2.5,2.1,2.0,1.5,0.9,0.9,0.2,,,,
Mike Bratz,84.5,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,,
John Crotty,84.5,2.4,2.2,2.1,1.9,1.3,1.0,0.8,0.3,0.1,0.1,-0.1
Alonzo Gee,83.4,2.4,1.9,1.9,1.2,1.0,0.9,0.4,-0.1,,,
Shake Milton,83.3,2.9,2.8,2.1,1.7,1.3,0.6,0.3,,,,
Trey Burke,82.5,2.4,2.4,2.1,1.9,1.4,1.3,0.9,0.5,0.0,,
Raul Neto,82.2,2.8,1.8,1.5,1.5,1.2,1.1,0.9,0.7,,,
Haywoode Workman,81.2,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,,,
