"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Rasual Butler,,4.6,2.7,2.6,2.6,1.7,1.7,1.6,1.3,1.2,1.1,0.1,-0.1,-0.2,,
Justin Holiday,84.3,4.2,3.1,2.5,2.1,1.8,1.7,1.4,1.3,0.6,0.1,-0.1,,,,
Francisco GarcÃ­a,83.8,4.2,3.0,2.4,2.4,1.8,1.6,1.3,1.0,0.8,-0.2,,,,,
Chucky Brown,83.5,4.2,2.2,2.2,2.1,1.6,1.6,1.6,1.4,1.3,0.4,0.3,0.1,0.0,,
Mike Muscala,83.2,3.4,2.5,2.5,2.4,2.1,1.9,1.6,1.3,1.3,0.2,0.1,,,,
Omri Casspi,81.3,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5,,,,,
Tom Hawkins,80.2,4.1,3.2,2.9,2.5,2.4,2.3,2.3,2.1,1.2,1.0,,,,,
Othella Harrington,79.2,3.8,3.6,3.0,3.0,2.5,2.2,1.7,1.4,1.1,0.8,0.0,0.0,,,
Charles Jones,79.2,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,1.5,0.6,0.2,0.2,0.0,0.0
Trey Lyles,79.2,3.9,3.5,2.6,2.6,2.4,2.3,2.2,1.2,0.8,0.6,,,,,
Tony Campbell,78.7,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3,,,,
