Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2019-20,21,BOS,NBA,SG,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,16.6,16.6,0.0,0.0,0.0,0.0,0.0,0.0,,106,
2020-21,22,BOS,NBA,SG,2,0,5,20.0,30.0,0.667,10.0,20.0,0.5,10.0,10.0,1.0,0.833,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,50.1,153.0,132,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,3,0,8,12.5,18.7,0.667,6.2,12.5,0.5,6.2,6.2,1.0,0.833,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,31.2,153.0,122,
