"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Walker Kessler,,7.1,5.4,4.1,,,,,
Gheorghe MureÈan,85.9,8.0,5.3,4.1,1.3,0.3,-0.1,,
Nikola PekoviÄ,83.4,6.7,5.9,4.5,1.2,0.6,-0.1,,
Jalen Duren,81.9,9.2,4.8,4.5,,,,,
Don Otten,77.8,8.5,5.8,4.9,1.7,,,,
Billy McGill,77.7,7.1,4.6,3.1,2.2,-0.1,,,
Skip Thoren,76.8,7.0,4.4,1.6,,,,,
Luke Kornet,74.5,7.0,5.1,3.3,1.4,1.1,0.7,0.5,0.4
Manny Leaks,72.5,7.3,5.2,1.1,0.8,0.2,-0.2,,
Bob Houbregs,72.0,6.9,4.5,2.8,2.2,0.2,,,
Alperen ÅengÃ¼n,70.9,8.3,6.9,5.2,2.1,,,,
