"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Morris Peterson,,5.9,5.1,4.9,4.9,3.8,3.6,3.2,2.9,0.8,0.6,0.0
Mike Bantom,92.8,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5,,
Chuck Person,91.0,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3.0,2.1,1.2,0.0
Rod Higgins,90.9,5.9,5.7,5.3,5.0,3.8,3.7,2.5,2.0,1.3,1.0,0.1
P.J. Tucker,90.3,6.1,5.0,5.0,4.9,4.0,3.9,3.6,3.5,2.9,1.0,0.1
Larry Nance Jr.,89.0,5.8,4.9,4.9,4.1,3.9,3.5,2.3,2.2,1.8,1.3,
John Block,88.2,5.5,5.1,4.2,4.2,4.1,4.1,3.1,2.3,0.2,0.0,
Jeff Green,87.9,6.6,5.2,4.8,4.7,4.2,3.9,3.6,3.3,3.1,0.7,0.2
Bill Bradley,87.7,7.0,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,
Jim Washington,87.7,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0.0
Willie Naulls,87.4,5.7,5.5,5.3,4.6,3.9,2.6,2.6,1.8,1.8,0.4,
