"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Christian Braun,,8.0,3.4,1.9
Steve Smith,95.8,8.1,3.5,1.5
Latrell Sprewell,95.6,8.0,4.0,2.0
Richie Guerin,95.2,8.4,3.5,1.7
Gene Littles,93.7,7.7,3.6,1.6
Bob Verga,91.3,8.2,3.3,2.8
Charlie Beasley,91.1,8.0,4.1,2.6
Brevin Knight,89.0,8.4,2.8,2.5
Ray Williams,89.0,8.2,3.9,1.0
DraÅ¾en PetroviÄ,88.9,7.7,2.8,2.5
Andrew Toney,88.4,7.3,4.0,2.2
