"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Brian Cook,,4.5,2.0,1.8,1.1,0.6,0.4,0.0,-0.1,-0.2
Kyle Singler,85.5,4.4,2.3,2.0,1.1,0.3,0.0,,,
Jason Kapono,83.5,4.2,1.9,1.3,1.2,0.8,0.5,0.5,0.1,-0.2
Javonte Green,82.7,4.4,1.6,1.4,1.1,1.1,0.9,,,
Gus Gerard,82.3,4.3,1.9,1.5,1.3,1.3,0.5,0.3,,
Anthony Bonner,81.0,4.1,2.4,1.8,1.6,0.7,0.0,,,
Carl Herrera,78.9,4.6,2.1,2.0,0.5,0.1,0.1,-0.2,-0.3,
Paul Reed,78.8,5.1,2.8,1.6,1.3,0.6,,,,
BoÅ¡tjan Nachbar,78.6,4.1,2.2,1.7,0.8,0.1,-0.1,,,
Darren Daye,78.5,3.8,2.4,1.3,1.2,0.6,,,,
De'Andre Hunter,78.0,4.4,2.5,2.2,1.7,1.1,0.1,,,
