"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jericho Sims,,2.6,1.5,1.5,1.3
Quincy Acy,94.0,2.5,1.7,1.5,1.1
Kyle O'Quinn,93.8,2.5,1.6,1.6,1.4
Joe Bryant,89.1,2.2,1.5,1.3,1.2
Thon Maker,89.0,2.0,1.5,1.5,1.3
Al Thornton,87.2,2.2,1.6,1.3,1.1
Robert Traylor,86.8,2.5,1.9,1.2,1.0
Mark Madsen,86.7,2.7,1.9,1.1,1.1
Corie Blount,86.6,2.5,1.7,1.2,0.9
James Hardy,84.1,2.5,1.8,1.3,0.7
Brady Walker,83.8,2.8,1.9,1.2,1.0
