"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jericho Sims,,2.6,1.5,1.5,1.3,,,
Al Thornton,87.2,2.2,1.6,1.3,1.1,,,
Keita Bates-Diop,86.0,2.7,1.6,1.3,1.2,0.3,0.3,
Thon Maker,85.7,2.0,1.5,1.5,1.3,0.3,,
James Hardy,84.1,2.5,1.8,1.3,0.7,,,
Rory White,84.1,2.6,1.5,1.0,1.0,0.4,,
Oshae Brissett,83.9,2.2,1.8,1.7,1.1,0.1,0.1,
Brady Walker,83.8,2.8,1.9,1.2,1.0,,,
Simmie Hill,83.4,3.1,1.6,1.2,1.0,,,
Sam Mack,82.5,2.8,1.9,1.3,1.1,0.3,0.0,-0.1
Shellie McMillon,82.5,2.5,2.2,1.7,1.7,,,
