"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Damyean Dotson,,1.5,0.9,0.6,0.0,0.0
Richie Frahm,85.7,1.5,1.0,0.5,-0.2,
Saben Lee,84.3,1.5,0.9,0.7,0.4,
Steve Alford,83.0,1.4,0.9,0.6,0.3,
Norris Cole,82.9,1.4,1.2,0.6,0.0,-0.1
Mike Flynn,79.3,1.7,0.8,0.3,,
Svi Mykhailiuk,79.3,1.6,0.8,0.8,0.3,-0.1
Gerald Green,78.2,1.6,1.2,0.5,0.0,-0.4
John Jenkins,77.7,1.7,0.9,0.2,0.0,-0.1
Jordan Hamilton,76.9,1.6,0.8,0.3,0.2,0.1
Sean Kilpatrick,76.8,1.4,1.0,0.1,0.1,
