Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2000-01,22,NJN,NBA,C,34,0,226,4.2,11.1,.375,0.0,0.0,4.2,11.1,.375,.375,2.3,5.6,.417,5.1,7.2,12.3,0.2,0.5,3.2,0.9,5.3,10.6,93,106,
2001-02,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2002-03,24,LAL,NBA,C,13,1,77,6.7,16.2,.417,0.0,0.0,6.7,16.2,.417,.417,1.3,1.3,1.000,6.7,8.8,15.5,2.7,0.0,3.4,1.3,8.8,14.8,107,105,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,47,1,303,4.8,12.4,.389,0.0,0.0,4.8,12.4,.389,.389,2.1,4.5,.462,5.5,7.6,13.1,0.9,0.3,3.3,1.0,6.2,11.7,97,105,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),,34,0,226,4.2,11.1,.375,0.0,0.0,4.2,11.1,.375,.375,2.3,5.6,.417,5.1,7.2,12.3,0.2,0.5,3.2,0.9,5.3,10.6,93,106,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,13,1,77,6.7,16.2,.417,0.0,0.0,6.7,16.2,.417,.417,1.3,1.3,1.000,6.7,8.8,15.5,2.7,0.0,3.4,1.3,8.8,14.8,107,105,
