"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Darius Garland,,8.1,7.6,6.3,2.7,1.2,-1.3,,,,
Tyrese Maxey,84.5,8.1,7.3,5.4,3.8,1.9,,,,,
Anthony Edwards,81.0,8.4,7.5,4.3,3.8,0.8,,,,,
Desmond Bane,78.5,7.2,6.5,5.8,3.1,2.9,,,,,
Darel Carrier,78.4,8.7,8.0,7.8,4.9,0.9,0.2,,,,
John Logan,78.2,9.2,8.3,5.2,4.3,1.0,,,,,
Austin Reaves,77.4,7.6,5.9,5.4,2.9,,,,,,
Micheal Williams,76.7,9.0,7.6,5.7,5.6,0.7,0.3,0.0,-0.1,-0.1,-0.2
Jalen Williams,74.9,7.8,7.3,5.6,,,,,,,
Ralph Simpson,74.3,7.2,7.2,6.3,4.2,2.3,1.2,1.1,-0.1,-0.2,-0.2
DraÅ¾en PetroviÄ,73.8,8.4,7.7,2.8,2.5,,,,,,
