Season,Team,Lg,Salary
2012-13,Golden State Warriors,NBA,"$2,798,040"
2013-14,Golden State Warriors,NBA,"$2,923,920"
2014-15,Golden State Warriors,NBA,"$3,049,920"
2015-16,Golden State Warriors,NBA,"$3,873,398"
2016-17,Dallas Mavericks,NBA,"$22,116,750"
2017-18,Dallas Mavericks,NBA,"$23,112,004"
2018-19,Sacramento Kings,NBA,"$24,107,258"
2019-20,Sacramento Kings,NBA,"$24,147,727"
2020-21,Sacramento Kings,NBA,"$22,215,909"
2021-22,Sacramento Kings,NBA,"$20,284,091"
2022-23,Sacramento Kings,NBA,"$18,352,273"
2023-24,Sacramento Kings,NBA,"$17,000,000"
2024-25,San Antonio Spurs,NBA,"$18,000,000"
Career,(may be incomplete),,"$201,981,290"
