"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Harrison Barnes,,6.7,6.5,6.0,5.6,4.9,4.7,4.6,4.6,4.5,3.8,3.6,3.2,2.8
Robert Horry,95.6,6.9,6.6,5.9,5.7,4.9,4.8,4.6,4.6,4.2,3.6,2.9,2.6,1.7
Joe Smith,92.9,6.8,6.3,6.1,5.5,4.7,4.4,4.4,4.1,3.7,3.0,2.8,2.6,2.3
Taj Gibson,92.6,7.2,5.7,5.4,5.2,5.1,4.8,4.7,4.5,4.0,3.8,3.3,2.7,2.6
Nicolas Batum,91.6,7.9,6.6,5.8,5.2,5.0,5.0,4.8,4.6,3.7,3.7,3.5,3.5,0.6
Eddie Johnson,91.6,7.4,6.5,5.6,5.6,5.5,5.3,4.8,4.3,4.0,3.9,3.0,2.4,1.8
Rudy Gay,91.2,6.4,6.1,6.0,5.5,5.0,4.8,4.4,4.0,3.8,3.3,3.1,1.8,0.5
Thaddeus Young,90.4,7.4,6.9,6.3,6.2,5.5,5.5,4.6,4.5,4.1,3.5,3.1,2.1,1.9
Marvin Williams,90.2,7.8,6.1,5.7,5.7,5.0,5.0,4.9,4.3,4.0,2.9,2.8,2.3,2.3
Juwan Howard,90.0,7.0,6.0,5.6,4.9,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,1.9
Amir Johnson,88.2,7.3,6.3,5.9,5.6,5.1,5.0,4.5,4.1,4.0,3.0,2.7,0.5,0.2
