Season,Team,Lg,Salary
2008-09,Minnesota Timberwolves,NBA,"$3,163,680"
2009-10,Minnesota Timberwolves,NBA,"$3,401,040"
2010-11,Minnesota Timberwolves,NBA,"$3,638,280"
2011-12,Minnesota Timberwolves,NBA,"$4,609,701"
2012-13,Minnesota Timberwolves,NBA,"$13,668,750"
2013-14,Minnesota Timberwolves,NBA,"$14,693,906"
2014-15,Cleveland Cavaliers,NBA,"$15,719,062"
2015-16,Cleveland Cavaliers,NBA,"$19,500,000"
2016-17,Cleveland Cavaliers,NBA,"$21,165,675"
2017-18,Cleveland Cavaliers,NBA,"$22,642,350"
2018-19,Cleveland Cavaliers,NBA,"$24,119,025"
2019-20,Cleveland Cavaliers,NBA,"$28,942,830"
2020-21,Cleveland Cavaliers,NBA,"$31,258,256"
2021-22,Cleveland Cavaliers,NBA,"$31,258,256"
2022-23,Cleveland Cavaliers,NBA,"$27,442,830"
2022-23,Miami Heat,NBA,"$3,114,138"
2023-24,Miami Heat,NBA,"$3,835,738"
2024-25,Miami Heat,NBA,"$3,850,000"
Career,(may be incomplete),,"$276,023,517"
