0
2010-11 NBA 5.8 (13th)
2011-12 NBA 6.4 (1st)
2013-14 NBA 6.7 (4th)
2016-17 NBA 4.9 (20th)
2017-18 NBA 5.1 (11th)
Active 4.7 (18th)
