Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2013-14,23,GSW,NBA,C,3,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,18.6,24.8,0.0,0.0,0.0,0.0,12.4,0.0,219,110,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,18.6,24.8,0.0,0.0,0.0,0.0,12.4,0.0,219,110,
