"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2016-17,23,ATL,NBA,EC1,WAS,L (2-4),6.0,31.2,11.2,5.3,1.3,0.3,0.2,29.0,52.0,0.558,4.0,14.0,0.286,25.0,38.0,0.658,0.596,5.0,5.0,1.0,7.0,25.0,32.0,8.0,2.0,1.0,7.0,9.0,67.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,28,MIN,NBA,WC1,MEM,L (2-4),5.0,13.0,6.0,1.6,1.2,0.4,0.2,10.0,27.0,0.37,4.0,14.0,0.286,6.0,13.0,0.462,0.444,6.0,7.0,0.857,1.0,7.0,8.0,6.0,2.0,1.0,4.0,5.0,30.0,
2022-23,29,MIN,NBA,WC1,DEN,L (1-4),5.0,20.0,7.8,1.4,0.8,0.6,0.2,12.0,33.0,0.364,8.0,21.0,0.381,4.0,12.0,0.333,0.485,7.0,9.0,0.778,3.0,4.0,7.0,4.0,3.0,1.0,5.0,9.0,39.0,
2023-24,30,LAL,NBA,WC1,DEN,L (1-4),5.0,22.2,7.4,2.4,0.6,0.2,0.4,12.0,29.0,0.414,5.0,17.0,0.294,7.0,12.0,0.583,0.5,8.0,8.0,1.0,1.0,11.0,12.0,3.0,1.0,2.0,1.0,9.0,37.0,
2024-25,31,MIL,NBA,EC1,IND,L (1-4),5.0,12.2,1.2,1.0,1.6,0.4,0.2,2.0,10.0,0.2,2.0,9.0,0.222,0.0,1.0,0.0,0.3,0.0,0.0,,0.0,5.0,5.0,8.0,2.0,1.0,5.0,3.0,6.0,
5 Yrs (5 Series),5 Yrs (5 Series),5 Yrs (5 Series),5 Yrs (5 Series),5 Yrs (5 Series),5 Yrs (5 Series),0-5,26.0,20.2,6.9,2.5,1.1,0.4,0.2,65.0,151.0,0.43,23.0,75.0,0.307,42.0,76.0,0.553,0.507,26.0,29.0,0.897,12.0,52.0,64.0,29.0,10.0,6.0,22.0,35.0,179.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (3 Series),WC1 (3 Series),WC1 (3 Series),WC1 (3 Series),WC1 (3 Series),WC1 (3 Series),0-3,15.0,18.4,7.1,1.8,0.9,0.4,0.3,34.0,89.0,0.382,17.0,52.0,0.327,17.0,37.0,0.459,0.478,21.0,24.0,0.875,5.0,22.0,27.0,13.0,6.0,4.0,10.0,23.0,106.0,
EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),0-2,11.0,22.5,6.6,3.4,1.5,0.4,0.2,31.0,62.0,0.5,6.0,23.0,0.261,25.0,39.0,0.641,0.548,5.0,5.0,1.0,7.0,30.0,37.0,16.0,4.0,2.0,12.0,12.0,73.0,
