Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2005-06,24,NJN,NBA,PG,2,0,16.0,1.0,1.5,0.667,0.0,0.0,1.0,1.5,0.667,0.667,0.0,0.0,0.5,1.5,2.0,3.5,0.0,0.0,2.0,2.0,2.0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,16.0,1.0,1.5,0.667,0.0,0.0,1.0,1.5,0.667,0.667,0.0,0.0,0.5,1.5,2.0,3.5,0.0,0.0,2.0,2.0,2.0,
