"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Brandan Wright,,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7,,,,
Markieff Morris,88.9,6.4,4.6,4.1,3.3,1.7,1.6,1.6,1.5,1.4,0.5,0.4,0.3,-0.1,-0.2
Adam Keefe,88.8,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,,,,,
Chuck Hayes,88.7,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0.0,,,
Dorell Wright,87.7,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1,,,
Tracy Murray,85.5,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2,,
Luke Jackson,85.3,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,,,,,,
Phil Jackson,84.1,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5,,
Aaron Williams,84.1,5.2,5.0,4.8,3.7,3.4,1.7,1.6,1.1,1.1,0.7,0.4,0.3,-0.1,-0.1
Chris Wilcox,84.0,6.0,4.4,3.4,3.1,2.8,2.6,1.3,1.3,1.1,0.6,0.2,,,
Gerald Govan,83.6,5.6,5.4,4.1,3.4,2.6,2.5,2.4,1.0,0.1,,,,,
