"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Rodney Hood,,6.0,2.7,2.6,2.6,2.2,1.1,0.7,-0.4
Fred Hoiberg,88.6,5.9,2.7,2.3,2.1,1.8,1.3,0.2,0.0
Marco Belinelli,86.2,5.9,3.4,3.0,2.9,2.9,1.2,0.5,0.0
Larry Miller,82.8,6.2,3.4,3.2,3.0,2.4,1.3,0.0,
Steve Blake,82.1,5.8,3.8,3.3,2.8,2.1,1.8,0.7,0.3
George McCloud,81.8,5.8,3.2,2.4,2.3,1.4,0.9,-0.4,-0.7
Todd Day,81.1,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1
Keith Bogans,80.4,4.9,3.6,2.6,2.5,2.3,1.7,1.3,0.1
Brian Shaw,80.4,5.9,3.2,2.2,1.8,1.3,1.1,1.0,0.6
John Bagley,80.0,4.6,3.0,2.6,2.6,1.1,0.9,0.4,-0.2
Malik Sealy,80.0,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2
