"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Skylar Mays,,0.8,0.7,0.4,0.3,
Keith McLeod,87.8,0.8,0.6,0.3,0.2,
Dalano Banton,85.7,0.8,0.5,0.4,0.4,
Shawn Respert,84.9,0.8,0.7,0.5,0.1,
Pearl Washington,80.8,0.7,0.7,0.5,,
Jordan McRae,77.8,0.7,0.5,0.4,0.2,
Tracy Moore,74.2,0.6,0.5,0.3,0.3,0.1
Dylan Windler,73.1,0.8,0.5,0.3,0.0,
Frank Jackson,71.5,1.2,0.7,0.4,0.2,0.0
Malachi Flynn,70.7,1.0,0.8,0.5,0.5,0.0
Acie Law,70.3,0.7,0.6,0.4,-0.1,
